	Query
423	K11685
424	K03746
425	PF13463.1
426	PF12802.2
427	K11924
428	K06075
429	K03709
430	PF01047.17
431	K15973
432	K15974
433	TIGR01889
434	PF01978.14
435	PF00027.24
436	PF13545.1
437	K13642
438	K10914
439	TIGR03697
440	PF13518.1
441	K07668
442	K13584
443	K02485
444	K13599
445	K07670
446	K11329
447	K11443
448	K07772
449	K07667
450	K07685
451	K11618
452	K13491
453	K07714
454	K10943
455	K02658
456	K03413
457	K07669
458	K02667
459	K07671
460	K02657
461	K07776
462	K07774
463	K11384
464	K07661
465	K07695
466	K14979
467	K08083
468	K07688
469	K07687
470	K07690
471	K02405
472	K07782
473	K10126
474	K04333
475	K07781
476	K08087
477	K07684
478	MCPMETEST-RXN
479	3.1.1.61
480	TIGR02154
481	TIGR02875
482	TIGR02985
483	TIGR03020
484	K11521
485	K14983
486	K02688
487	K02488
488	K03924
489	K03415
490	K10941
491	K11630
492	K11917
493	K07707
494	K11914
495	K11908
496	3.4.21.53
497	TIGR02031
498	PF08282.7
499	PF01128.14
500	K12506
501	K07757
502	K01534
503	K01533
504	K01547
505	K01537
506	K07281
507	K00973
508	K12956
509	K12950
510	K01091
511	NAG1P-URIDYLTRANS-RXN
512	2.3.1.157
513	2.7.7.60
514	3.6.3.54
515	3.6.3.5
516	3.6.3.2
517	TIGR01173
518	TIGR00099
519	TIGR01489
520	K03270
521	K00208
522	K00076
523	K00023
524	K11610
525	K06123
526	K00971
527	K00216
528	K11049
529	K00019
530	DHBDEHYD-RXN
531	1.3.1.34
532	1.3.1.28
533	TIGR01831
534	TIGR01963
535	TIGR04316
536	K13818
537	K02617
538	K08699
539	K15669
540	K00661
541	K15913
542	K00633
543	K00640
544	K08279
545	K03819
546	SERINE-O-ACETTRAN-RXN
547	GLUC1PURIDYLTRANS-RXN
548	2.7.7.38
549	2.3.1.89
550	2.3.1.129
551	2.3.1.30
552	2.3.1.201
553	2.3.1.203
554	TIGR01853
555	TIGR04008
556	TIGR02091
557	TIGR03308
558	TIGR03570
559	2.7.7.33
560	2.7.7.24
561	K00983
562	K15899
563	2.7.7.43
564	2.7.7.82
565	TIGR03584
566	TIGR01105
567	PF00753.22
568	PF01473.15
569	K11063
570	K00689
571	TIGR00361
572	TIGR02651
573	TIGR00649
574	TIGR04035
575	K12574
576	K00784
577	TIGR02208
578	PF02169.11
579	PF08139.7
580	K09860
581	PF06835.8
582	PF05860.8
583	TIGR01901
584	PF01810.13
585	K06895
586	K06600
587	PF12704.2
588	K03089
589	K15773
590	K03497
591	K03090
592	TIGR02943
593	TIGR02392
594	TIGR02479
595	TIGR02394
596	PF04703.7
597	PF02470.15
598	K02067
599	K06192
600	TIGR00996
601	PF13411.1
602	K03713
603	K13640
604	TIGR02043
605	PF00149.23
606	K01081
607	TIGR01390
608	TIGR01167
609	K03651
610	K07313
611	K07098
612	K03269
613	3.6.1.54
614	K12350
615	PF04452.9
616	2.1.1.193
617	PF02636.12
618	PF13847.1
619	K03428
620	K00573
621	K00591
622	K02528
623	K00568
624	K15256
625	TIGR01983
626	TIGR01934
627	PF09140.6
628	K03593
629	K04562
630	TIGR03453
631	TIGR01968
632	TIGR01007
633	K03106
634	K02224
635	K03110
636	K01938
637	TIGR00064
638	K10352
639	K08086
640	TIGR01010
641	PF01618.11
642	K03562
643	K02556
644	TIGR02796
645	TIGR03818
646	PF01957.13
647	PF00114.14
648	PF07963.7
649	K02246
650	K02650
651	K02458
652	K02671
653	K10927
654	K02655
655	K02459
656	K02682
657	K02457
658	K08084
659	K02456
660	K02672
661	K10924
662	K08085
663	K12285
664	K10925
665	K10926
666	TIGR01710
667	TIGR01708
668	PF02613.10
669	K00369
670	TIGR00684
671	PF13676.1
672	PF09413.5
673	K12789
674	K12786
675	PF00881.19
676	PF00668.15
677	K00626
678	K12437
679	K12428
680	K00647
681	K01895
682	K12429
683	K01911
684	K03822
685	K12430
686	K15643
687	K12442
688	K04791
689	K12433
690	K04786
691	K12443
692	K15645
693	K12440
694	K12441
695	K14371
696	K15644
697	K11628
698	K12431
699	K12507
700	K04790
701	K12444
702	K04784
703	K15659
704	K04792
705	K16124
706	K15662
707	K12240
708	K16228
709	K12427
710	K12423
711	K12425
712	K16229
713	K02364
714	K11609
715	K12239
716	K04789
717	K04788
718	K04787
719	K12237
720	K04783
721	K12238
722	K12421
723	K15646
724	K12424
725	O-SUCCINYLBENZOATE-COA-LIG-RXN
726	2.3.1.16
727	2.3.1.179
728	6.1.1.13
729	6.2.1.26
730	2.3.1.41
731	2.3.1.111
732	6.2.1.20
733	2.7.7.58
734	TIGR03150
735	TIGR01734
736	TIGR02275
737	TIGR03605
738	K00353
739	PF01909.18
740	PF14860.1
741	2.7.7.n1
742	2.7.7.n6
743	PF03938.9
744	PF12329.3
745	K09291
746	K13582
747	2.4.1.5
748	K11144
749	K03702
750	K12196
751	K01338
752	K13525
753	K03798
754	K03551
755	K04086
756	K02343
757	K03695
758	K02313
759	K02341
760	K10763
761	K01358
762	K03697
763	K13527
764	3.4.21.53-RXN
765	TIGR00382
766	TIGR00390
767	TIGR00678
768	TIGR00194
769	TIGR03345
770	TIGR03922
771	PF00213.13
772	K03222
773	TIGR02544
774	PF02753.12
775	PF00345.15
776	K07353
777	K12519
778	K07346
779	K07357
780	PF03740.8
781	2.6.99.2
782	PF00717.18
783	PF07022.8
784	K07727
785	PF13557.1
786	PF01663.17
787	PF00884.18
788	PF13231.1
789	2.4.2.43
790	PF01522.16
791	K11931
792	3.5.1.104
793	TIGR03933
794	PF13360.1
795	PF05567.6
796	K02674
797	PF13540.1
798	PF00415.13
799	K11494
800	K10615
801	K15421
802	K15072
803	K11060
804	TIGR04211
805	K01447
806	K13714
807	K13695
808	PF13516.1
809	PF12799.2
810	PF09479.5
811	K13730
812	K10641
813	K03749
814	PF00440.18
815	K16138
816	K16137
817	PF00899.16
818	PF13460.1
819	PF07993.7
820	K00014
821	K07748
822	K00027
823	K15789
824	K00091
825	K13013
826	K15912
827	K01711
828	K15894
829	K03606
830	UDPGLUCEPIM-RXN
831	5.1.3.20-RXN
832	5.1.3.25
833	4.2.1.135
834	4.2.1.115
835	4.2.1.45
836	TIGR00507
837	TIGR03023
838	TIGR02354
839	TIGR01214
840	TIGR04180
841	TIGR04130
842	TIGR03589
843	TIGR03025
844	PF05690.9
845	PF02581.12
846	PF01207.12
847	K00459
848	K03149
849	K01814
850	K00788
851	K02443
852	PRIBFAICARPISOM-RXN
853	2.8.1.10
854	TIGR03151
855	TIGR01919
856	TIGR00742
857	TIGR03572
858	PF13462.1
859	PF00265.13
860	K12083
861	PF03349.11
862	K02014
863	K16089
864	K16088
865	K15721
866	K16090
867	TIGR01786
868	TIGR01783
869	PF13103.1
870	K03646
871	TIGR02794
872	K03765
873	PF00486.23
874	K10920
875	TIGR01347
876	PF07238.9
877	K00694
878	K02676
879	PF00023.25
880	PF13637.1
881	K15502
882	K06694
883	K04984
884	PF02661.13
885	K07117
886	2.1.1.43
887	K02407
888	PF07906.8
889	PF03543.9
890	TIGR01586
891	PF12937.2
892	PF00646.28
893	PF05062.7
894	TIGR01168
895	PF04488.10
896	PF12919.2
897	3.5.1.28-RXN
898	PF08460.5
899	K01318
900	3.4.21.19-RXN
901	3.4.21.19
902	K10930
903	TIGR02523
904	TIGR01707
905	TIGR01711
906	PF04156.9
907	K11547
908	K11558
909	K12289
910	K10400
911	K05363
912	K01875
913	SERINE--TRNA-LIGASE-RXN
914	K15350
915	K09760
916	K07803
917	K12211
918	K02496
919	K12065
920	K10398
921	TIGR00833
922	K12086
923	PF04350.8
924	PF04612.7
925	K02462
926	K12280
927	K09816
928	K05876
929	K05877
930	K10937
931	K02660
932	K10961
933	K11037
934	K02663
935	K11033
936	K11036
937	K11034
938	K11035
939	K11238
940	PF04344.8
941	PF04353.8
942	PF00583.19
943	PF13508.1
944	PF13523.1
945	K09994
946	K02348
947	K00619
948	K03824
949	K03828
950	K00657
951	TIGR03585
952	K15896
953	K03817
954	2.3.1.202
955	PF03895.10
956	PF05662.9
957	K12341
958	K05747
959	K07172
960	PF01442.13
961	PF00975.15
962	2.1.1.163
963	2.3.1.9
964	TIGR00128
965	PF02353.15
966	K03439
967	K15471
968	DHHB-METHYLTRANSFER-RXN
969	2.1.1.222
970	2.1.1.64
971	2.1.1.79
972	TIGR02752
973	TIGR03534
974	TIGR02081
975	TIGR00091
976	2.1.1.201
977	2.1.1.197
978	K02493
979	TIGR00138
980	TIGR01444
981	K15257
982	K00575
983	K02661
984	CHER-RXN
985	2.1.1.80
986	ISOCHORMAT-RXN
987	3.3.2.1
988	PF03865.8
989	K07277
990	K11017
991	K07326
992	PF07161.8
993	K14954
994	PF09013.5
995	K13740
996	K01104
997	K04055
998	PF13946.1
999	TIGR02252
1000	CPM-KDOSYNTH-RXN
1001	2.4.99.13
1002	2.4.99.12
1003	PF06306.6
1004	PF13704.1
1005	K13689
1006	PF04888.7
1007	K15345
1008	K13285
1009	K02410
1010	TIGR00207
1011	PF06013.7
1012	PF10824.3
1013	K14956
1014	TIGR03930
1015	K02413
1016	PF06511.6
1017	K13287
1018	TIGR02553
1019	PF00293.23
1020	K03574
1021	K08310
1022	K08311
1023	K12152
1024	K13522
1025	K03207
1026	TIGR00586
1027	PF00126.22
1028	K02521
1029	K03576
1030	K09681
1031	K13634
1032	K02623
1033	K13635
1034	K10972
1035	PF01531.11
1036	PF07922.6
1037	UROGENIIISYN-RXN
1038	K00785
1039	PF00226.26
1040	K03686
1041	K05516
1042	K05801
1043	K09512
1044	TIGR03835
1045	TIGR02349
1046	PF05833.6
1047	K02952
1048	K13792
1049	K16042
1050	PF05211.7
1051	PF02501.12
1052	K02460
1053	PF11530.3
1054	PF04917.7
1055	K12810
1056	K12286
1057	K12277
1058	K02673
1059	PF05946.7
1060	PF08805.6
1061	PF03934.8
1062	K02237
1063	TIGR01259
1064	PF10425.4
1065	PF00746.16
1066	PF02986.9
1067	K14194
1068	K14192
1069	K14201
1070	K13733
1071	K13732
1072	K14195
1073	K14196
1074	PF13620.1
1075	K10130
