	Query
1720	PF09059.5
1721	PF02623.10
1722	PF03100.10
1723	K02197
1724	PF09850.4
1725	K11892
1726	TIGR03349
1727	PF12252.3
1728	K13192
1729	K15473
1730	PF02163.17
1731	K04772
1732	K04771
1733	K08372
1734	K04691
1735	K02452
1736	TIGR00054
1737	TIGR02038
1738	TIGR02037
1739	PF05101.8
1740	K03198
1741	K12079
1742	K12068
1743	PF10671.4
1744	K10962
1745	TIGR03748
1746	PF05394.6
1747	PF01375.12
1748	K10928
1749	PF05775.7
1750	PF03284.8
1751	PF05563.7
1752	PF05983.6
1753	PF09432.5
1754	PF01774.12
1755	K03190
1756	PF03734.9
1757	PF04230.8
1758	K00102
1759	UDPNACETYLMURAMATEDEHYDROG-RXN
1760	1.3.1.98
1761	TIGR00179
1762	K12982
1763	K02849
1764	TIGR02201
1765	PF03888.9
1766	PF03767.9
1767	PF00314.12
1768	PF09619.5
1769	TIGR02567
1770	PF07180.6
1771	PF11546.3
1772	PF12356.3
1773	PF06305.6
1774	K08600
1775	TIGR01076
1776	PF02495.12
1777	PF10462.4
1778	PF03482.8
1779	PF11182.3
1780	K15125
1781	K11016
1782	PF07824.7
1783	PF12718.2
1784	PF01117.15
1785	PF03318.8
1786	PF15644.1
1787	PF09961.4
1788	PF07577.6
1789	PF08817.5
1790	TIGR03920
1791	TIGR02882
1792	PF13672.1
1793	PF12097.3
1794	K10964
1795	PF13362.1
1796	PF06977.6
1797	PF02048.11
1798	PF04741.7
1799	PF06069.6
1800	PF04449.7
1801	PF12059.3
1802	PF09028.5
1803	PF13539.1
1804	PF13041.1
1805	PF01441.14
1806	K05967
1807	PF14891.1
1808	K08644
1809	3.4.24.69-RXN
1810	3.4.24.68-RXN
1811	3.4.24.69
1812	3.4.24.68
1813	PF08090.6
1814	PF05689.6
1815	PF13327.1
1816	PF08786.6
1817	PF05108.8
1818	TIGR03919
1819	PF02510.9
1820	PF12574.3
1821	PF06523.6
1822	PF14855.1
1823	PF07434.6
1824	PF03519.9
1825	PF14897.1
1826	PF08408.5
1827	PF06041.6
1828	PF10106.4
1829	PF05538.6
1830	PF08929.5
1831	PF14491.1
1832	PF14282.1
1833	PF14093.1
1834	PF05141.7
1835	PF11550.3
1836	PF05058.7
1837	PF01744.15
1838	PF13079.1
1839	PF09621.5
1840	TIGR02572
1841	PF03732.12
1842	PF08017.6
1843	PF00617.14
1844	PF07216.7
1845	TIGR02573
1846	PF06590.6
1847	PF13930.1
1848	K15051
1849	3.1.21.1-RXN
1850	PF09143.5
1851	PF09037.5
1852	K13052
1853	K10954
1854	PF14011.1
1855	PF13289.1
1856	PF11441.3
1857	PF13573.1
1858	PF13387.1
1859	PF06066.6
1860	PF05555.6
1861	PF13475.1
1862	K12080
1863	K12206
1864	TIGR00929
1865	PF02467.11
1866	PF05150.7
1867	PF09023.5
1868	PF13678.1
1869	PF02090.10
1870	PF14794.1
1871	PF14296.1
1872	PF04991.8
1873	K07271
1874	PF01709.15
1875	TIGR01033
1876	PF08020.6
1877	PF14264.1
1878	PF05488.8
1879	PF13665.1
1880	PF07065.9
1881	PF03963.9
1882	K02389
1883	K06872
1884	PF02120.11
1885	K02414
1886	TIGR02514
1887	K04057
1888	PF09255.5
1889	PF14113.1
1890	K03772
1891	K03774
1892	K03775
1893	TIGR00959
1894	K00857
1895	K00867
1896	K02474
1897	GDP-MANNOSE-6-DEHYDROGENASE-RXN
1898	1.1.1.136
1899	1.1.1.132
1900	K06923
1901	TIGR00631
1902	K13643
1903	TIGR02944
1904	TIGR00738
1905	K00146
1906	K14269
1907	K00131
1908	K08324
1909	K00147
1910	1.2.1.9-RXN
1911	ACETALD-DEHYDROG-RXN
1912	1.2.1.79
1913	TIGR01804
1914	TIGR00150
1915	TIGR01967
1916	K03466
1917	TIGR03925
1918	TIGR03924
1919	K06925
1920	K02111
1921	K02133
1922	K02112
1923	K02132
1924	K03628
1925	K02412
1926	TIGR01039
1927	TIGR00962
1928	TIGR00767
1929	TIGR02546
1930	TIGR03496
1931	TIGR03498
1932	K12053
1933	K12108
1934	K14540
1935	K06942
1936	K06943
1937	TIGR00475
1938	TIGR03594
1939	TIGR00436
1940	TIGR03597
1941	TIGR00450
1942	TIGR03596
1943	K02519
1944	K02837
1945	K00955
1946	3.6.5.n1
1947	TIGR00484
1948	TIGR01394
1949	TIGR01393
1950	TIGR00503
1951	TIGR00487
1952	K14338
1953	K00517
1954	K15981
1955	K00513
1956	1.14.13.141
1957	K13038
1958	K01925
1959	UDP-NACMURALA-GLU-LIG-RXN
1960	K02552
1961	K01665
1962	K03342
1963	K13503
1964	K01851
1965	K13063
1966	4.2.99.21
1967	TIGR00553
1968	TIGR03494
1969	ANTHRANSYN-RXN
1970	K01664
1971	K01951
1972	K13497
1973	TIGR01368
1974	K03152
1975	K07010
1976	TIGR01855
1977	TIGR00313
1978	K01937
1979	CTPSYN-RXN
1980	TIGR00337
1981	TIGR01737
1982	K03768
1983	TIGR02818
1984	2.3.1.174
1985	K03557
1986	K06597
1987	K06598
1988	TIGR00368
1989	K03581
1990	K02198
1991	K07399
1992	TIGR03144
1993	K02396
1994	K02390
1995	K02392
1996	K02388
1997	K02391
1998	TIGR02492
1999	TIGR02488
2000	TIGR01395
2001	6.3.2.1
2002	TIGR00018
2003	K00859
2004	K13829
2005	2.7.4.9
2006	2.7.1.24
2007	TIGR00235
2008	K01564
2009	K01468
2010	K01466
2011	K01465
2012	K07047
2013	K08710
2014	K01443
2015	ALLANTOINASE-RXN
2016	TIGR00857
2017	TIGR01792
2018	K06019
2019	K07015
2020	TIGR01993
2021	K01089
2022	K02566
2023	TIGR00213
2024	K13019
2025	K08068
2026	5.1.3.23
2027	3.2.1.184
2028	TIGR00236
2029	TIGR03568
2030	K00980
2031	K00852
2032	K00856
2033	K00874
2034	2.7.7.39-RXN
2035	2.7.1.15
2036	2.7.7.70
2037	2.7.7.39
2038	TIGR02199
2039	TIGR00097
2040	TIGR02198
2041	TIGR03828
2042	TIGR03168
2043	K00941
2044	PYRIMSYN3-RXN
2045	2.7.1.20
2046	TIGR01510
2047	K00969
2048	TIGR00482
2049	TIGR01318
2050	K09808
2051	K09811
2052	K01835
2053	K03431
2054	PHOSMANMUT-RXN
2055	5.4.2.10
2056	5.4.2.2
2057	TIGR03990
2058	TIGR01132
2059	K00820
2060	K07106
2061	K03699
2062	K06189
2063	IMP-DEHYDROG-RXN
2064	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
2065	2.6.1.16
2066	1.1.1.205
2067	TIGR01135
2068	K12961
2069	K00605
2070	K00609
2071	K00611
2072	ORNCARBAMTRANSFER-RXN
2073	K00764
2074	K01950
2075	K01916
2076	PRPPAMIDOTRANS-RXN
2077	K04618
2078	K08368
2079	K03761
2080	K05819
2081	K08151
2082	K08221
2083	K08167
2084	K08195
2085	K02575
2086	TIGR00710
2087	K08159
2088	K03762
2089	K08225
2090	K03535
2091	K02445
2092	K13021
2093	K03292
2094	K03449
2095	TIGR00883
2096	TIGR00886
2097	K07784
2098	K02429
2099	K03305
2100	K11069
2101	K02055
2102	K02027
2103	K10938
2104	TIGR03261
2105	K02034
2106	K02053
2107	K11070
2108	K02054
2109	K02018
2110	K05814
2111	K02047
2112	K02038
2113	TIGR01253
2114	K02029
2115	K02037
2116	TIGR02138
2117	TIGR00974
2118	K08088
2119	K01151
2120	K14647
2121	K14743
2122	3.4.21.110
2123	K12257
2124	K03072
2125	K03074
2126	TIGR01129
2127	K01928
2128	K15792
2129	K01924
2130	K11754
2131	TIGR01499
2132	TIGR04012
2133	K00912
2134	2.7.1.130
2135	K03294
2136	K03293
2137	K03758
2138	K16238
2139	TIGR03810
2140	TIGR03813
2141	TIGR01713
2142	K14170
2143	K04092
2144	K04782
2145	K04516
2146	TIGR01803
2147	K01433
2148	K00607
2149	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
2150	FORMYLTHFDEFORMYL-RXN
2151	TIGR00460
2152	TIGR00639
2153	K00648
2154	TIGR02445
2155	K00869
2156	K00872
2157	K00938
2158	HOMOSERKIN-RXN
2159	2.7.1.168
2160	TIGR00549
2161	TIGR01220
2162	K07309
2163	K05299
2164	TIGR01580
2165	K00819
2166	K07250
2167	K00836
2168	DAPASYN-RXN
2169	2.6.1.11
2170	5.4.3.8
2171	TIGR00713
2172	TIGR00709
2173	K03644
2174	K03639
2175	K06139
2176	K11780
2177	2.8.1.6-RXN
2178	2.8.1.8
2179	TIGR00510
2180	TIGR02351
2181	TIGR02666
2182	K08297
2183	K00252
2184	K09456
2185	K11731
2186	K00249
2187	ACYLCOADEHYDROG-RXN
2188	ACYL-COA-DEHYDROGENASE-NADP+-RXN
2189	1.3.99.-
2190	K02234
2191	TIGR00101
2192	K01935
2193	K13788
2194	DETHIOBIOTIN-SYN-RXN
2195	PHOSACETYLTRANS-RXN
2196	6.3.3.3
2197	K02344
2198	TIGR00664
2199	1.1.1.94
2200	1.1.1.44
2201	TIGR00872
2202	6.3.2.9
2203	K08259
2204	K08642
2205	K03810
2206	K00010
2207	K13016
2208	1.1.1.335
2209	TIGR03944
2210	K04785
2211	K12241
2212	K03820
2213	TIGR00546
2214	TIGR00517
2215	K12543
2216	K12538
2217	K08721
2218	K07796
2219	K00995
2220	PHOSCHOL-RXN
2221	K13940
2222	K00950
2223	K01673
2224	K02441
2225	K03480
2226	K03491
2227	K01783
2228	TIGR01163
2229	K07258
2230	K01286
2231	K07262
2232	K01453
2233	K08698
2234	TETHYDPICSUCC-RXN
2235	TIGR00965
2236	K06929
2237	K00997
2238	2.7.8.7
2239	TIGR00556
2240	K10105
2241	2.3.1.181
2242	TIGR03926
2243	K01585
2244	K01581
2245	4.1.1.20
2246	4.1.1.96
2247	K02433
2248	K01426
2249	TIGR00132
2250	K03733
2251	K04763
2252	K14059
2253	K07358
2254	TIGR02225
2255	K02495
2256	K04034
2257	TIGR01579
2258	TIGR00539
2259	TIGR04107
2260	K03101
2261	3.4.23.36
2262	TIGR00077
2263	K06959
2264	K11605
2265	K11606
2266	K06286
2267	K01637
2268	ISOCIT-CLEAV-RXN
2269	TIGR01346
2270	K04068
2271	TIGR03470
2272	TIGR02346
2273	K04773
2274	3.4.21.92
2275	K03771
2276	K03770
2277	K03604
2278	K03487
2279	K03485
2280	TIGR01481
2281	K01200
2282	K00700
2283	K01236
2284	K05343
2285	K01182
2286	K06044
2287	TRE6PHYDRO-RXN
2288	3.2.1.141
2289	5.4.99.16
2290	TIGR02403
2291	TIGR02402
2292	K06016
2293	TIGR03176
2294	TIGR00180
2295	TIGR02947
2296	K08309
2297	K03194
2298	K07090
2299	K12100
2300	K03980
2301	TIGR00797
2302	K01000
2303	K02851
2304	2.7.8.33
2305	2.7.8.13
2306	TIGR00445
2307	TIGR02380
2308	K04051
2309	TIGR02508
2310	K00946
2311	THI-P-KIN-RXN
2312	TIGR01736
2313	TIGR01379
2314	TIGR00476
2315	K01627
2316	TIGR01362
2317	K01448
2318	TIGR02520
2319	K03277
2320	K01429
2321	K03570
2322	K14394
2323	K03741
2324	K07497
2325	K01716
2326	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
2327	TIGR01750
2328	TIGR01749
2329	K09826
2330	K09825
2331	K03103
2332	K14410
2333	K05589
2334	K01442
2335	CHOLOYLGLYCINE-HYDROLASE-RXN
2336	K01787
2337	K15490
2338	K11604
2339	K11704
2340	K09818
2341	K02415
2342	K02387
2343	TIGR01396
2344	TIGR02489
2345	K15481
2346	K02409
2347	TIGR00206
2348	K11890
2349	K12210
2350	K11891
2351	TIGR03348
2352	K02406
2353	K02397
2354	TIGR02550
2355	K10963
2356	K11898
2357	K15914
2358	K13012
2359	2.7.8.36
2360	K12082
2361	K12048
2362	K12092
2363	K10931
2364	K07214
2365	K07017
2366	K15476
2367	K12099
2368	K08076
2369	K12220
2370	K13688
2371	K12093
2372	K12085
2373	TIGR02781
2374	K12049
2375	K12212
2376	K03803
2377	K07227
2378	K07225
2379	TIGR01688
2380	K08990
2381	K01401
2382	K08605
2383	3.4.24.26-RXN
2384	3.4.24.30-RXN
2385	3.4.24.25
2386	3.4.24.29
2387	3.4.24.26
2388	3.4.24.30
2389	K02194
2390	TIGR01190
2391	K13110
2392	K06220
2393	K12516
2394	TIGR00350
2395	K13742
2396	K13743
2397	K12787
2398	4.2.2.15
2399	K12269
2400	K12208
2401	K12207
2402	K14728
2403	K01007
2404	2.7.3.9-RXN
2405	TIGR01418
2406	TIGR01417
2407	K15479
2408	K11900
2409	TIGR03355
2410	K07282
2411	K07268
2412	K06214
2413	K12105
2414	K12103
2415	2.3.1.122
2416	K11911
2417	K11910
2418	K11902
2419	TIGR03363
2420	TIGR03362
2421	K02402
2422	K03411
2423	K11048
2424	K10932
2425	K04080
2426	K13993
2427	K04062
2428	K06077
2429	K10933
2430	TIGR03021
2431	K12784
2432	K02418
2433	K12225
2434	K11056
2435	K12797
2436	K12097
2437	K12223
2438	K02066
2439	TIGR00056
2440	TIGR01704
2441	K04565
2442	K04334
2443	K04335
2444	K07052
2445	K06940
2446	K12593
2447	K03933
2448	K15351
2449	K15488
2450	K10599
2451	K11038
2452	K02465
2453	TIGR01004
2454	K11009
2455	K15484
2456	K12514
2457	K11897
2458	K11905
2459	TIGR03357
2460	K00681
2461	K11022
2462	K00483
2463	K12214
2464	K12215
2465	K15482
2466	K15483
2467	K11008
2468	K10929
2469	K05373
2470	TIGR02718
2471	K02196
2472	K10973
2473	TIGR02431
2474	K11052
2475	K11020
2476	K11058
2477	K12224
2478	K07154
2479	K03181
2480	4.1.3.40
2481	K03191
2482	K12101
2483	K04337
2484	K02403
2485	K14202
2486	K13793
2487	K06858
2488	TIGR03659
2489	K12522
2490	K12089
2491	K14745
2492	K15842
2493	K01525
2494	K03187
2495	K12098
2496	K01178
2497	K16041
2498	K02394
2499	K12788
2500	K12809
2501	K12785
2502	K12091
2503	K12221
2504	K03563
2505	TIGR00202
2506	K11011
2507	K08566
2508	K13520
2509	3.4.23.48
2510	K11895
2511	TIGR03347
2512	K02044
2513	TIGR00363
2514	K06602
2515	K11007
2516	K12104
2517	K07215
2518	K12213
2519	TIGR03064
2520	K08587
2521	TIGR02806
2522	K15367
2523	K11027
2524	K12219
2525	K11046
2526	K02675
2527	K06601
2528	K10532
2529	K07266
2530	K07265
2531	K06137
2532	K12106
2533	K03188
2534	K10919
2535	K13715
2536	K08258
2537	K11026
2538	K15491
2539	K04048
2540	K02425
2541	TIGR03823
2542	K12202
2543	TIGR04346
2544	K12470
2545	K02393
2546	K12763
2547	K16081
2548	K12548
2549	TIGR03661
2550	K07813
2551	K12102
2552	K11006
2553	K10939
2554	K12109
2555	K14198
2556	K12096
2557	K11012
2558	K15126
2559	K12204
2560	K14814
2561	K15478
2562	K02422
2563	TIGR00208
2564	K12094
2565	K12287
2566	K07116
2567	3.5.1.97
2568	K06887
2569	K11903
2570	K10952
2571	K11010
2572	K12218
2573	K04338
2574	K08239
2575	K10935
2576	K11128
2577	K12088
2578	K12222
2579	K12110
2580	K11047
2581	PMPOXI-RXN
2582	TIGR00558
2583	LIPIDADISACCHARIDESYNTH-RXN
2584	TIGR00215
2585	PGLUCISOM-RXN
2586	BIOTINLIG-RXN
2587	6.3.4.15
2588	TIGR00121
2589	2.7.8.12-RXN
2590	2.7.8.12
2591	3.1.4.10-RXN
2592	4.6.1.13
2593	RXN-11372
2594	1.1.1.130
2595	1.1.1.350
2596	2.5.1.31
2597	2.5.1.86
2598	2.5.1.68
2599	3.4.22.10
2600	1.11.1.21
2601	TIGR00198
2602	4.4.1.21
2603	4.2.2.3
2604	5.3.3.17
2605	4.3.2.3
2606	TIGR03834
2607	TIGR03836
2608	TIGR01221
2609	TIGR01436
2610	TIGR00223
2611	TIGR00278
2612	TIGR01741
2613	TIGR03604
2614	TIGR02498
2615	TIGR03360
2616	TIGR03923
2617	TIGR03932
2618	TIGR01409
2619	TIGR03927
2620	TIGR03897
2621	TIGR03893
2622	TIGR03603
2623	TIGR03755
