	0
1700	PF05488.8
1701	PF13665.1
1702	PF07065.9
1703	PF03963.9
1704	K02389
1705	K06872
1706	PF02120.11
1707	K02414
1708	TIGR02514
1709	K04057
1710	PF09255.5
1711	PF14113.1
1712	K03772
1713	K03774
1714	K03775
1715	TIGR00959
1716	TIGR01420
1717	K03650
1718	K02450
1719	K02472
1720	K02474
1721	GDP-MANNOSE-6-DEHYDROGENASE-RXN
1722	1.1.1.136
1723	1.1.1.132
1724	K11144
1725	K03702
1726	K02454
1727	K02652
1728	K13643
1729	TIGR02944
1730	TIGR00738
1731	K00146
1732	K14269
1733	K00131
1734	K08324
1735	K00147
1736	1.2.1.9-RXN
1737	ACETALD-DEHYDROG-RXN
1738	1.2.1.79
1739	TIGR01804
1740	K00855
1741	K03979
1742	TIGR02729
1743	TIGR01026
1744	K10763
1745	K02669
1746	K12083
1747	K02670
1748	K02504
1749	K12276
1750	K10965
1751	K12203
1752	TIGR03420
1753	TIGR02788
1754	TIGR02782
1755	TIGR02533
1756	TIGR02524
1757	TIGR02525
1758	K12283
1759	TIGR00150
1760	TIGR01967
1761	K06865
1762	K06925
1763	K06923
1764	K02111
1765	K02133
1766	K02112
1767	K02132
1768	K03628
1769	K03224
1770	K02412
1771	TIGR01039
1772	TIGR00962
1773	TIGR00767
1774	TIGR03497
1775	TIGR02546
1776	TIGR03496
1777	TIGR03498
1778	K03977
1779	K03978
1780	K14540
1781	K06942
1782	K06943
1783	TIGR03594
1784	TIGR00436
1785	TIGR03598
1786	TIGR00450
1787	TIGR03596
1788	K02519
1789	K02837
1790	K00955
1791	3.6.5.n1
1792	TIGR00484
1793	TIGR01394
1794	TIGR01393
1795	TIGR00503
1796	TIGR00487
1797	TIGR00475
1798	K14338
1799	K00517
1800	K15981
1801	K00513
1802	1.14.13.141
1803	K02552
1804	K01665
1805	K03342
1806	K13503
1807	K01851
1808	K13063
1809	4.2.99.21
1810	TIGR00553
1811	TIGR03494
1812	ANTHRANSYN-RXN
1813	K01664
1814	K01951
1815	K13497
1816	TIGR01368
1817	K03152
1818	K07010
1819	TIGR00313
1820	TIGR01855
1821	K01937
1822	TIGR00337
1823	TIGR01737
1824	K03768
1825	TIGR02818
1826	2.3.1.174
1827	K02688
1828	K10941
1829	K11917
1830	K11914
1831	K11908
1832	K03557
1833	TIGR02031
1834	K07781
1835	K06597
1836	K06598
1837	K03798
1838	K03551
1839	TIGR00368
1840	K02198
1841	TIGR03144
1842	K00375
1843	K00813
1844	K00832
1845	K04720
1846	HISTAMINOTRANS-RXN
1847	TIGR01140
1848	TIGR03542
1849	K02396
1850	K02390
1851	K02392
1852	TIGR02492
1853	TIGR02488
1854	K03581
1855	K03631
1856	TIGR00611
1857	6.3.2.1
1858	TIGR00018
1859	K00891
1860	K00945
1861	K13829
1862	2.7.4.9
1863	K01564
1864	K01468
1865	K01466
1866	K01465
1867	K07047
1868	K08710
1869	K01443
1870	ALLANTOINASE-RXN
1871	TIGR00857
1872	TIGR01792
1873	K06019
1874	K08726
1875	K01091
1876	TIGR01993
1877	K01089
1878	K02566
1879	TIGR00213
1880	K07015
1881	K13019
1882	K08068
1883	5.1.3.23
1884	3.2.1.184
1885	TIGR00236
1886	TIGR03568
1887	CPM-KDOSYNTH-RXN
1888	2.4.99.13
1889	2.4.99.12
1890	K00980
1891	K00852
1892	K00856
1893	K00874
1894	2.7.7.39-RXN
1895	2.7.1.15
1896	2.7.7.70
1897	2.7.7.39
1898	TIGR02199
1899	TIGR02198
1900	TIGR03828
1901	TIGR03168
1902	K00941
1903	2.7.1.20
1904	K06211
1905	K00969
1906	TIGR00482
1907	TIGR01510
1908	K09808
1909	K09811
1910	K01835
1911	K03431
1912	PHOSMANMUT-RXN
1913	5.4.2.10
1914	5.4.2.2
1915	TIGR03990
1916	TIGR01132
1917	K03699
1918	K06189
1919	K00605
1920	TIGR01318
1921	K00609
1922	K00611
1923	ORNCARBAMTRANSFER-RXN
1924	K00764
1925	K00820
1926	K01950
1927	K01916
1928	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
1929	PRPPAMIDOTRANS-RXN
1930	2.6.1.16
1931	TIGR01135
1932	K04618
1933	K08368
1934	K05819
1935	K08151
1936	K08221
1937	K08167
1938	K08195
1939	K02575
1940	TIGR00710
1941	K08159
1942	K03762
1943	K08225
1944	K03535
1945	K02445
1946	K03761
1947	K13021
1948	K03292
1949	K03449
1950	TIGR00883
1951	TIGR00886
1952	K02429
1953	K03305
1954	K11069
1955	K02055
1956	K02027
1957	TIGR03261
1958	K02034
1959	K02053
1960	K11070
1961	K02054
1962	K02018
1963	K05814
1964	K02047
1965	TIGR01253
1966	K02038
1967	K02029
1968	K02037
1969	TIGR02138
1970	TIGR00974
1971	K01151
1972	K14647
1973	K14743
1974	3.4.21.110
1975	K12053
1976	K12108
1977	K12257
1978	K03072
1979	K03074
1980	TIGR01129
1981	K01928
1982	K01925
1983	K15792
1984	K01924
1985	K11754
1986	TIGR04012
1987	K00912
1988	2.7.1.130
1989	K03294
1990	K03293
1991	K03758
1992	K16238
1993	TIGR03810
1994	TIGR03813
1995	K02452
1996	TIGR01713
1997	K14170
1998	K04092
1999	K04782
2000	K04516
2001	TIGR01803
2002	K01139
2003	K00951
2004	K07816
2005	PPGPPSYN-RXN
2006	2.7.6.5
2007	TIGR00691
2008	K01433
2009	K00607
2010	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
2011	FORMYLTHFDEFORMYL-RXN
2012	TIGR00460
2013	TIGR00639
2014	K00648
2015	TIGR02445
2016	K00869
2017	K00872
2018	K00938
2019	HOMOSERKIN-RXN
2020	2.7.1.168
2021	TIGR00549
2022	TIGR01220
2023	K07309
2024	K05299
2025	TIGR01580
2026	K00819
2027	K07250
2028	K00836
2029	DAPASYN-RXN
2030	2.6.1.11
2031	5.4.3.8
2032	TIGR00713
2033	TIGR00709
2034	K03644
2035	K03639
2036	K06139
2037	K11780
2038	2.8.1.6-RXN
2039	2.8.1.8
2040	TIGR00510
2041	TIGR02351
2042	TIGR02666
2043	K07784
2044	K08297
2045	K00252
2046	K09456
2047	K11731
2048	K00249
2049	ACYLCOADEHYDROG-RXN
2050	ACYL-COA-DEHYDROGENASE-NADP+-RXN
2051	1.3.99.-
2052	K02234
2053	TIGR00235
2054	TIGR00101
2055	K01935
2056	K13788
2057	DETHIOBIOTIN-SYN-RXN
2058	PHOSACETYLTRANS-RXN
2059	6.3.3.3
2060	K04517
2061	1.1.1.94
2062	1.1.1.44
2063	TIGR00872
2064	TIGR01499
2065	K08259
2066	K08642
2067	K03810
2068	K00010
2069	K13016
2070	1.1.1.335
2071	TIGR03944
2072	K04785
2073	K12241
2074	TIGR00517
2075	K12543
2076	K12538
2077	K08721
2078	K07796
2079	K00995
2080	K03089
2081	K03090
2082	TIGR02392
2083	TIGR02479
2084	K03497
2085	TIGR02943
2086	K13940
2087	K00950
2088	K01673
2089	K02441
2090	K03480
2091	K03491
2092	K01783
2093	TIGR01163
2094	K07258
2095	K01286
2096	K07262
2097	K01453
2098	K02617
2099	K08698
2100	K08279
2101	2.3.1.203
2102	TETHYDPICSUCC-RXN
2103	2.3.1.201
2104	TIGR00965
2105	K00997
2106	2.7.8.7
2107	TIGR00556
2108	K10105
2109	2.3.1.181
2110	K01585
2111	K01581
2112	4.1.1.20
2113	4.1.1.96
2114	K02433
2115	K01426
2116	TIGR00132
2117	K07106
2118	IMP-DEHYDROG-RXN
2119	1.1.1.205
2120	K12961
2121	K03733
2122	K04763
2123	K14059
2124	K07358
2125	TIGR02225
2126	K02495
2127	K04034
2128	TIGR01579
2129	TIGR00539
2130	TIGR04107
2131	K03101
2132	3.4.23.36
2133	TIGR00077
2134	K06959
2135	K11605
2136	K11606
2137	K06286
2138	K11037
2139	K11033
2140	K11034
2141	K11035
2142	K01637
2143	ISOCIT-CLEAV-RXN
2144	TIGR01346
2145	K04068
2146	TIGR03470
2147	K04773
2148	K01358
2149	3.4.21.92
2150	K03771
2151	K03770
2152	K03604
2153	K03487
2154	K03485
2155	TIGR01481
2156	K01200
2157	K00700
2158	K01236
2159	K05343
2160	K01182
2161	K06044
2162	TRE6PHYDRO-RXN
2163	3.2.1.141
2164	5.4.99.16
2165	TIGR02403
2166	TIGR02402
2167	K06016
2168	TIGR03176
2169	TIGR00180
2170	TIGR02947
2171	K08309
2172	K03194
2173	K07090
2174	K12100
2175	TIGR00797
2176	K01000
2177	K02851
2178	2.7.8.33
2179	2.7.8.13
2180	TIGR00445
2181	TIGR02380
2182	K04051
2183	TIGR02508
2184	K00946
2185	THI-P-KIN-RXN
2186	TIGR01736
2187	TIGR01379
2188	TIGR00476
2189	K01627
2190	TIGR01362
2191	K01448
2192	TIGR02520
2193	K03466
2194	TIGR03925
2195	TIGR03924
2196	K01429
2197	K01430
2198	K14048
2199	K03570
2200	K14394
2201	K03741
2202	K07497
2203	K01716
2204	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
2205	TIGR01750
2206	TIGR01749
2207	K09826
2208	K09825
2209	K01442
2210	CHOLOYLGLYCINE-HYDROLASE-RXN
2211	K01787
2212	K15490
2213	K12206
2214	K11604
2215	K11704
2216	K09818
2217	K02415
2218	K11036
2219	K02391
2220	K02388
2221	TIGR02489
2222	TIGR01395
2223	TIGR01396
2224	K02387
2225	K15481
2226	K02409
2227	TIGR00206
2228	K11890
2229	K02849
2230	K02407
2231	K12210
2232	K11891
2233	TIGR03348
2234	K02406
2235	K02397
2236	TIGR02550
2237	K10963
2238	K02451
2239	K11898
2240	K15914
2241	K13012
2242	2.7.8.36
2243	K12082
2244	K12048
2245	K12092
2246	K10931
2247	K07214
2248	K07017
2249	TIGR02346
2250	K03162
2251	K15476
2252	TIGR01076
2253	K12099
2254	K08076
2255	K12220
2256	K13688
2257	K12093
2258	K12085
2259	TIGR02781
2260	K12049
2261	K12212
2262	K03803
2263	K07227
2264	K07225
2265	TIGR01688
2266	K08990
2267	K01401
2268	K08605
2269	3.4.24.26-RXN
2270	3.4.24.30-RXN
2271	3.4.24.25
2272	3.4.24.29
2273	3.4.24.26
2274	3.4.24.30
2275	K02194
2276	TIGR01190
2277	K13110
2278	K06220
2279	K12516
2280	TIGR00350
2281	K13742
2282	K13743
2283	K12787
2284	K13925
2285	4.2.2.15
2286	K13192
2287	K12269
2288	K12208
2289	K12207
2290	K14728
2291	K01007
2292	2.7.3.9-RXN
2293	TIGR01418
2294	K15479
2295	K11900
2296	TIGR03355
2297	K07282
2298	K13836
2299	K07268
2300	K06214
2301	K12105
2302	K12103
2303	2.3.1.122
2304	K11911
2305	K11910
2306	K11902
2307	TIGR03363
2308	TIGR03362
2309	K02402
2310	K03411
2311	K11048
2312	K10932
2313	K10938
2314	K04080
2315	K13993
2316	K04062
2317	K06077
2318	K10933
2319	TIGR03021
2320	K12784
2321	K02418
2322	K12225
2323	K11056
2324	K12797
2325	K12097
2326	K12223
2327	K02066
2328	K04565
2329	K04334
2330	K04335
2331	K07052
2332	K06940
2333	K12789
2334	K12786
2335	K12593
2336	K03933
2337	K15350
2338	K15351
2339	K15488
2340	K10599
2341	K11038
2342	K11032
2343	K10948
2344	TIGR01002
2345	K02465
2346	TIGR01004
2347	K11009
2348	K15484
2349	K12514
2350	K11897
2351	K11905
2352	TIGR03357
2353	K00681
2354	K11022
2355	K00483
2356	K12214
2357	K12215
2358	K15482
2359	K15483
2360	K11008
2361	K10929
2362	K05373
2363	TIGR02718
2364	K02196
2365	K10973
2366	TIGR02431
2367	TIGR03926
2368	K12982
2369	TIGR02201
2370	K11052
2371	K11020
2372	K11058
2373	K12224
2374	K07154
2375	K03181
2376	4.1.3.40
2377	K03191
2378	K14410
2379	K12101
2380	K04337
2381	K02403
2382	K14202
2383	K13793
2384	K08088
2385	K06858
2386	TIGR03659
2387	K12522
2388	K12089
2389	K14745
2390	K15842
2391	K01525
2392	K03187
2393	K12098
2394	K01178
2395	K16041
2396	K02394
2397	K12788
2398	K12809
2399	K12785
2400	K12091
2401	K12221
2402	K03563
2403	TIGR00202
2404	K11011
2405	K08566
2406	K13520
2407	3.4.23.48
2408	K11895
2409	TIGR03347
2410	K02044
2411	TIGR00363
2412	K06602
2413	K11007
2414	K12104
2415	K07215
2416	K12213
2417	K08600
2418	TIGR03064
2419	K08587
2420	TIGR02806
2421	K15367
2422	K11027
2423	K12219
2424	K11046
2425	K02675
2426	K06601
2427	K10532
2428	K12247
2429	K07266
2430	K07265
2431	K06137
2432	K12106
2433	K03188
2434	K10919
2435	K13715
2436	K08258
2437	K11026
2438	K15491
2439	K04048
2440	K02425
2441	TIGR03823
2442	K12202
2443	TIGR04346
2444	K12470
2445	K02393
2446	K12763
2447	K16081
2448	K12548
2449	TIGR03661
2450	K04524
2451	K08757
2452	K07813
2453	K12102
2454	K11006
2455	K10939
2456	K12109
2457	K14198
2458	K12096
2459	K11012
2460	K15126
2461	K12204
2462	K15478
2463	K02422
2464	TIGR00208
2465	K12094
2466	K12287
2467	K07116
2468	3.5.1.97
2469	K06887
2470	K11903
2471	K10952
2472	K11010
2473	K12218
2474	K04338
2475	K08239
2476	K10935
2477	K11128
2478	K12088
2479	K12222
2480	K12110
2481	K11047
2482	PMPOXI-RXN
2483	TIGR00558
2484	LIPIDADISACCHARIDESYNTH-RXN
2485	TIGR00215
2486	PGLUCISOM-RXN
2487	BIOTINLIG-RXN
2488	6.3.4.15
2489	TIGR00121
2490	2.7.8.12-RXN
2491	2.7.8.12
2492	PHOSPHOLIPASE-A1-RXN
2493	3.1.4.10-RXN
2494	4.6.1.13
2495	RXN-11372
2496	PHOSCHOL-RXN
2497	1.1.1.130
2498	1.1.1.350
2499	2.5.1.31
2500	2.5.1.86
2501	2.5.1.68
2502	3.4.22.10
2503	1.11.1.21
2504	TIGR00198
2505	4.4.1.21
2506	4.2.2.3
2507	5.3.3.17
2508	4.3.2.3
2509	TIGR03834
2510	TIGR03836
2511	TIGR01221
2512	TIGR00223
2513	TIGR00278
2514	TIGR03866
2515	TIGR01741
2516	TIGR03604
2517	TIGR02498
2518	TIGR03360
2519	TIGR00546
2520	TIGR03923
2521	TIGR03932
2522	TIGR01409
2523	TIGR03927
2524	TIGR03897
2525	TIGR03893
2526	TIGR03603
2527	TIGR03755
