	0
423	GLUC1PURIDYLTRANS-RXN
424	2.7.7.38
425	2.3.1.89
426	2.3.1.129
427	2.3.1.30
428	TIGR01853
429	TIGR04008
430	TIGR02091
431	TIGR03308
432	TIGR03570
433	2.7.7.33
434	2.7.7.24
435	K00983
436	K15899
437	2.7.7.43
438	2.7.7.82
439	TIGR03584
440	TIGR01105
441	PF00753.22
442	PF01473.15
443	K11063
444	K00689
445	TIGR00361
446	TIGR00649
447	TIGR04035
448	K12574
449	K00784
450	TIGR02651
451	PF03279.8
452	TIGR02208
453	PF02169.11
454	PF08139.7
455	K09860
456	PF01810.13
457	K06895
458	K06600
459	PF12704.2
460	PF01978.14
461	PF00027.24
462	PF13545.1
463	K13642
464	K10914
465	TIGR03697
466	PF04703.7
467	PF02470.15
468	K02067
469	K06192
470	PF13411.1
471	K03713
472	K13640
473	TIGR02043
474	PF00149.23
475	K01081
476	TIGR01390
477	TIGR01167
478	K03651
479	K07313
480	K03269
481	3.6.1.54
482	K12350
483	PF04452.9
484	2.1.1.193
485	PF02636.12
486	PF13847.1
487	K00573
488	K00591
489	K02528
490	K00568
491	K15256
492	TIGR01983
493	TIGR01934
494	PF09140.6
495	K03593
496	K04562
497	2.7.10.-
498	TIGR03453
499	TIGR01968
500	TIGR01005
501	TIGR01007
502	K02224
503	K03110
504	K01938
505	TIGR00064
506	K03106
507	K08086
508	K05789
509	TIGR01006
510	TIGR01010
511	PF01618.11
512	K03562
513	K02556
514	TIGR02796
515	TIGR03818
516	PF01957.13
517	PF00114.14
518	PF07963.7
519	K02246
520	K02650
521	K02458
522	K02671
523	K10927
524	K02655
525	K02459
526	K02682
527	K02457
528	K08084
529	K02456
530	K02672
531	K10924
532	K08085
533	K12285
534	K10925
535	K10926
536	TIGR01710
537	TIGR01708
538	PF02613.10
539	K00369
540	TIGR00684
541	PF00881.19
542	PF00668.15
543	K00626
544	K12437
545	K12428
546	K00647
547	K01895
548	K12429
549	K01911
550	K03822
551	K12430
552	K15643
553	K12442
554	K12433
555	K04786
556	K12443
557	K15645
558	K12440
559	K12441
560	K14371
561	K15644
562	K11628
563	K12431
564	K12507
565	K04790
566	K12444
567	K04784
568	K15659
569	K04792
570	K16124
571	K15662
572	K12240
573	K16228
574	K12427
575	K12423
576	K16229
577	K02364
578	K11609
579	K12239
580	K04789
581	K04788
582	K04787
583	K12237
584	K04783
585	K12238
586	K12421
587	K15646
588	K12424
589	O-SUCCINYLBENZOATE-COA-LIG-RXN
590	2.3.1.16
591	2.3.1.179
592	6.1.1.13
593	6.2.1.26
594	2.3.1.41
595	2.3.1.111
596	6.2.1.20
597	2.7.7.58
598	TIGR03150
599	TIGR01734
600	TIGR02275
601	TIGR03605
602	PF01909.18
603	PF14860.1
604	2.7.7.n1
605	2.7.7.n6
606	PF03938.9
607	PF12329.3
608	K06675
609	K10352
610	K09291
611	K13582
612	2.4.1.5
613	K12196
614	K01338
615	K13525
616	K04086
617	K02343
618	K03695
619	K02341
620	K03924
621	K03697
622	K13527
623	3.4.21.53-RXN
624	3.4.21.53
625	TIGR00382
626	TIGR00390
627	TIGR00194
628	TIGR03345
629	TIGR03922
630	PF00213.13
631	K03222
632	TIGR02544
633	PF02753.12
634	PF00345.15
635	K07353
636	K12519
637	K07346
638	K07357
639	PF03740.8
640	2.6.99.2
641	PF00717.18
642	PF07022.8
643	K15773
644	K07727
645	PF13557.1
646	PF01663.17
647	PF00884.18
648	PF13231.1
649	2.4.2.43
650	PF01522.16
651	3.5.1.104
652	K11931
653	TIGR03933
654	PF13360.1
655	PF05567.6
656	PF13519.1
657	K02674
658	PF13540.1
659	PF00415.13
660	K11494
661	K10615
662	K15421
663	K15072
664	PF08239.6
665	K13695
666	K11060
667	K08307
668	TIGR04211
669	PF05036.8
670	K03749
671	K03219
672	K02666
673	K02507
674	K12282
675	TIGR02519
676	TIGR02517
677	TIGR02515
678	TIGR02516
679	PF00440.18
680	K16138
681	K16137
682	PF05690.9
683	PF02581.12
684	PF01207.12
685	K00459
686	K03149
687	K01814
688	PRIBFAICARPISOM-RXN
689	TIGR01919
690	TIGR03572
691	PF13462.1
692	PF03349.11
693	K02014
694	K16089
695	K16088
696	K15721
697	K16090
698	TIGR01786
699	TIGR01783
700	PF13103.1
701	K03646
702	TIGR02794
703	K09257
704	K03765
705	PF13437.1
706	K15727
707	K12542
708	K02005
709	K12537
710	K11003
711	K12532
712	TIGR00999
713	TIGR02971
714	K12340
715	K00658
716	TIGR01347
717	PF07238.9
718	K00694
719	K02160
720	K02676
721	PF00023.25
722	PF13637.1
723	K15502
724	K06694
725	K04984
726	PF02661.13
727	K07117
728	2.1.1.43
729	PF05062.7
730	TIGR01168
731	K01447
732	3.5.1.28-RXN
733	PF08460.5
734	K01318
